sender,amount0,amount1,block
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,297626033058412464850,18982984645446652676,10752814
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,35262799563985608833,2490369353110554541,10753072
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,50000000000000000000,3522994686682586721,10753167
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,43896452219545493177,2996937846719549046,10753630
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,10000103595648406350,678725064200082747,10753709
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,63647247266177634209,3999836928751207901,10754089
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,62017250860411657048,3940479773475199652,10754116
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,3987076233585283999,254853443197667585,10754163
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,12483975803814875599,831441067830220149,10754324
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,726186445299308302988,50000000000000000000,10754535
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,85567011787293547262,5740973075901247356,10754565
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,95013107561840176113,6406968021532764374,10754678
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,252883149157960511824,16474570553474748505,10755578
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,2863128878741462783,185384314874244724,10755626
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,10000000000000000000,647488543916799047,10755627
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,38801790617498314135,2490375839707055248,10755681
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,2000000000000000000,129909286666672949,10756098
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,46647677420529759144,2999999999999999999,10756376
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,7692026434224499326,493841702574226962,10756441
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,513422763611200603472,32943363263214115023,10756455
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,8619228182485203700,560692042350990188,10756505
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,3001062254290973114,197182232868016493,10756528
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,1978566158741921769,129999999999999999,10756533
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,31515643702596231799,2094167569697393526,10756825
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,37249359464537511425,2467505971088241164,10756949
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,30231965292238828147,1995148863163154312,10757009
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,37306776728217568477,2481811723421856544,10757020
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,13557928273897983302,997473436542603626,10757906
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,12370067887895471443,999999999999999999,10758253
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,2631020497987927499999,225832352861995202612,10758366
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,34938515046709871717,2999999999999999999,10758465
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,12794765132552603915,1078572056987003396,10758520
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,980603723225399622,79999999999999999,10759056
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,3050084540065505049,248888392437786293,10759074
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,3998492582828712139,307903880751988699,10759436
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,10846012502947884701,849999999999999999,10759548
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,12564312410604817414,968732612026078141,10760008
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,928466202565976661267,72228407643487792374,10760513
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,13973018334118946068,1095297874572395502,10760530
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,769379003219043928676,61730749413843214017,10760594
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,55567927357455469131,4458465573920954380,10760615
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,27445746203021995720,2178785706256819734,10760648
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,63593069369908477530,4982435315895394088,10760686
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,103524075875819299025,8059719277467471632,10760755
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,38463623549839507493,2949786072266782183,10761373
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,5059559999060909153,398232247137942469,10761630
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,114186226404567382845,9499999999999999999,10763327
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,4179867007327048190,348449032857351045,10763365
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,712812240709441537299,61093644199087349157,10763628
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,520621374060621070923,44130223960208602261,10763726
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,1958262071471290502,169240598334282981,10763856
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,17924774813294379130,1522157556749042843,10763865
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,17843104428184716235,1471746026079396754,10763992
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,780421563075302234,64708423922936414,10764044
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,3298428852390096958,248887698924510239,10764334
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,14469707452330293932,1073136941831009693,10764504
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,13081236435706044923,995290528239354392,10765622
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,40464430124804698253,3078827092319294075,10765659
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,19465071980223369510,1499999999999999999,10765794
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,1229391265205493287,99552093123030457,10766087
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,51673819977556101780,4199999999999999999,10766117
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,89296107456382892772,7129482761095879170,10766671
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,13044586542084297855,995693599557363418,10767049
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,27163116011840569729,1991784357566990985,10767263
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,176130867657746738711,12474489611827356829,10767914
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,296709750061315517510,21492077014881546881,10768161
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,4299369756141412770,299999999999999999,10768930
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,31702471348978949048,2075437693750870978,10769445
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,72331986378899199918,4799999999999999999,10769601
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,30691256076580385176,2105484493770099442,10770112
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,35554042516117803484,2489999755795792496,10770311
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,17311815128043662431,1244684706982093892,10770796
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,10498526817770859091,799999999999999999,10771619
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,4508866928106903203,343841426519172691,10771620
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,36574070216110704725,2835253690902616179,10772127
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,122678616546295372198,10000000000000000000,10772499
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,18321611799010088624,1493671939282950830,10772508
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,125481838413475023001,9973732168830089406,10772602
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,75731488052390041411,5908945156368689432,10772638
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,102816266029538079283,7999999999999999999,10772669
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,53319886205691687761,4199999999999999999,10772779
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,69628728368833282396,4910939461025280571,10774813
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,11619703290104788104,846318129989101251,10775632
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,96408885560000000000,7364850686176691920,10775776
