sender,to,amount0,amount1,block
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,4260773481652624047,323098318645891085,10797278
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,44489889419535658077,3360544214837890975,10797866
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,42779412120015056553,3207837616155937460,10797889
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x343E3a490c9251dC0eaA81Da146ba6ABe6C78b2d,25669119038352414308,1867575896991492612,10798579
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x343E3a490c9251dC0eaA81Da146ba6ABe6C78b2d,49956141851161487765,4170925034929968591,10799251
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x343E3a490c9251dC0eaA81Da146ba6ABe6C78b2d,142584544305116887122,8627789732744759552,10801526
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,268126636911131132417,19457697624761122757,10801977
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,9283760240998049013,698445785939589517,10804503
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,27690387039069719248,2107722821856495320,10804610
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x343E3a490c9251dC0eaA81Da146ba6ABe6C78b2d,464943685916474367,36899970618949985,10806949
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,4257760895142075473,323805624790762142,10808458
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,2920646404658326316,220633152229730391,10808627
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,76475348019069585744,5982520216625060159,10811440
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,1517759528335812702505,104223504434456591053,10814294
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,15871267802757609109,1102969497519099019,10816446
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,70965291066548609448,4897230403898265910,10817013
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x343E3a490c9251dC0eaA81Da146ba6ABe6C78b2d,35215022860040841594,2560709618418322846,10817511
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,3171194995783941717413,206102876798803973391,10822008
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,283295070343461150705,18950879428681631788,10822391
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,218690940347366755210,14598705623033097738,10826325
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,1092151144819000749354,71788237904710075397,10827133
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x343E3a490c9251dC0eaA81Da146ba6ABe6C78b2d,12992110164108447469,895600287452265075,10829447
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,317697036945862704164,21472767948019107894,10829805
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x343E3a490c9251dC0eaA81Da146ba6ABe6C78b2d,124944915155927191977,8128871036863943106,10830148
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x343E3a490c9251dC0eaA81Da146ba6ABe6C78b2d,2827726624837458020,178406845521033027,10830443
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,200375271932421139009,12654555475103472986,10830471
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x343E3a490c9251dC0eaA81Da146ba6ABe6C78b2d,110350297364453546088,7181566795871196730,10830994
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x343E3a490c9251dC0eaA81Da146ba6ABe6C78b2d,16804565417286710765,1114703248340163073,10833815
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,96453078003046016307,6672602729532731795,10834564
